season,id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,total_boundaries,2nd_in_win
2021,,Delhi Capitals v Kolkata Knight Riders,DC v KKR,25th Match,DC,KKR,DC,BOWL FIRST,154/6,156/3,156,154,DC,DC won by 7 wickets,,,,"Narendra Modi Stadium, Ahmedabad",Rishab Pant,Eoin Morgan,Prithvi Shaw,,FALSE,16.3,156,3,21,20,154,6,17,38,TRUE
2021,,Mumbai Indians v Rajasthan Royals,MI v RR,24th Match,MI,RR,MI,BOWL FIRST,171/4,172/3,172,171,MI,MI won by 7 wickets,,,,"Arun Jaitley Stadium, Delhi",Rohit Sharma,Sanju Samson,Quinton de Kock,,FALSE,18.3,172,3,19,20,171,4,21,40,TRUE
2021,,Chennai Super Kings v Sunrisers Hyderabad,CSK v SRH,23rd Match,CSK,SRH,SRH,BAT FIRST,171/3,173/3,173,171,CSK,CSK won by 7 wickets,,,,"Arun Jaitley Stadium, Delhi",MS Dhoni,David Warner,Ruturaj Gaikwad,,FALSE,18.3,173,3,26,20,171,3,19,45,TRUE
2021,,Delhi Capitals v Royal Challengers Bangalore,DC v RCB,22nd Match,DC,RCB,DC,BOWL FIRST,171/5,170/4,170,171,RCB,RCB won by 1 run,,,,"Narendra Modi Stadium, Ahmedabad",Rishab Pant,Virat Kohli,AB de Villiers,,FALSE,20,170,4,20,20,171,5,18,38,FALSE
2021,,Kings XI Punjab v Kolkata Knight Riders,KXIP v KKR,21st Match,KXIP,KKR,KKR,BOWL FIRST,123/9,126/5,126,123,KKR,KKR won by 5 wickets,,,,"Narendra Modi Stadium, Ahmedabad",Eoin Morgan,KL Rahul,Eoin Morgan,,FALSE,20,123,9,13,16.4,126,5,19,32,TRUE
2021,,Sunrisers Hyderabad v Delhi Capitals,SRH v DC,20th Match,SRH,DC,DC,BAT FIRST,159/4,159/7,159,159,DC,Match tied (Delhi Capitals won the one-over eliminator),,,,"MA Chidambaram Stadium, Chepauk, Chennai",David Warner,Rishab Pant,Prithvi Shaw,,TRUE,20,159,7,19,20,159,4,20,39,FALSE
2021,,Chennai Super Kings v Royal Challengers Bangalore,CSK v RCB,19th Match,CSK,RCB,CSK,BAT FIRST,191/4,122/9,191,122,CSK,CSK won by 69 runs,,,,"Wankhede Stadium, Mumbai",MS Dhoni,Virat Kohli,Ravindra Jadeja,,FALSE,20,191,4,26,20,122,9,14,40,FALSE
2021,,Rajasthan Royals v Kolkata Knight Riders,RR v KKR,18th Match,RR,KKR,RR,BOWL FIRST,133/9,134/4,134,133,RR,RR won by 6 wickets,,,,"Wankhede Stadium, Mumbai",Sanju Samson,Eoin Morgan,Chris Morris,,FALSE,18.5,134,4,15,20,133,9,14,29,TRUE
2021,,Kings XI Punjab v Mumbai Indians,KXIP v MI,17th Match,KXIP,MI,KXIP,BOWL FIRST,131/6,132/1,132,131,KXIP,KXIP won by 9 wickets,,,,"MA Chidambaram Stadium, Chepauk, Chennai",KL Rahul,Rohit Sharma,KL Rahul,,FALSE,17.4,132,1,18,20,131,6,14,32,TRUE
2021,,Royal Challengers Bangalore v Rajasthan Royals,RCB v RR,16th Match,RCB,RR,RCB,BOWL FIRST,177/9,181/0,181,177,RCB,RCB won by 10 wickets,,,,"Wankhede Stadium, Mumbai",Virat Kohli,Sanju Samson,Devdutt Padikkal,,FALSE,16.3,181,0,26,20,177,10,25,51,TRUE
